wgs_id,date,assembly_length,assembly_coverage,contigs,reference_coverage,reference_percentage_mapped,percent_missing
Eth47-2022,2022,2112047.0,154.24756972947245,91.0,289.0,91.6965997642132,8.29887658068346
Eth48-2022,2022,2111633.0,156.63846775586904,101.0,287.0,88.50029394973359,8.24860832651964
Eth50-2022,2022,2131840.0,103.23526803678612,92.0,172.0,81.05745194041835,7.93181079961022
Eth51-2022,2022,2125313.0,174.67373684962743,100.0,312.0,85.48927736274874,7.677333363201577
Eth52-2022,2022,2127418.0,155.23182916509117,101.0,287.0,85.71607504330466,7.731454620803977
Eth53-2022,2022,2130891.0,160.4822849521177,96.0,276.0,84.95663088254429,7.7172074685543395
Eth54-2022,2022,2185066.0,153.26802155144884,99.0,269.0,84.83805434252037,5.4570625329017375
Eth55-2022,2022,2124685.0,151.67227360819464,102.0,268.0,85.21275280410073,7.519629036413122
Eth56-2022,2022,2130715.0,144.1892722843698,97.0,251.0,86.63054174391196,7.779348349592858
Eth61-2023,2023,2127601.0,136.21778716136993,104.0,235.0,83.2949807779722,7.512236646094913
Eth62-2023,2023,2126397.0,118.85798746039052,96.0,203.0,82.77141797804998,7.6252730144151615
Eth63-2023,2023,2126388.0,155.28770773163137,96.0,265.0,83.08926725959368,7.734187565103437
Eth64-2023,2023,2129764.0,156.13793064800464,94.0,265.0,82.15414169476759,7.823120260749768
Eth65-2023,2023,2124815.0,178.73928944990604,93.0,317.0,84.60118501752582,7.867474602659021
Eth66-2023,2023,2120047.0,131.23788332332398,94.0,223.0,83.61703722724762,8.208510209339053
Eth67-2023,2023,2125942.0,130.23918289775585,97.0,227.0,85.17667607875426,7.858962153201689
Eth69-2023,2023,2128349.0,184.1892707342279,109.0,337.0,86.80180693417692,7.659367614610052
Eth70-2023,2023,2117089.0,136.330253483668,102.0,244.0,87.31470255453496,7.825136367200187
Eth71-2023,2023,2111806.0,122.93959132164892,96.0,225.0,89.33406484105495,8.245203346736709
Eth72-2023,2023,2131551.0,127.89926665634223,92.0,220.0,84.95967455926746,7.700585790929761
Eth73-2023,2023,2132504.0,143.6756526955584,96.0,244.0,82.19124077688726,7.678722236534089
Eth74-2023,2023,2114230.0,133.24039023165838,94.0,243.0,89.19791421675113,8.498381514543969
Eth75-2023,2023,2111795.0,167.67413780156798,97.0,312.0,87.42533049265651,8.303491224336646
Eth76-2023,2023,2107819.0,150.14765885128796,103.0,258.0,86.08354496370693,8.295830019825047
Eth77-2023,2023,2129454.0,149.888709421084,94.0,260.0,84.83122935040073,7.792878663993459
Eth78-2023,2023,2122521.0,165.13617004979218,99.0,277.0,85.14340970105357,8.119219094768205
Eth79-2023,2023,2134609.0,168.54650381692,97.0,297.0,85.10331295205246,7.55479889338157
Eth81-2023,2023,2126044.0,150.1175303005973,93.0,261.0,83.51736257042272,7.95000056002957
Eth82-2023,2023,2131366.0,134.77508117698886,90.0,233.0,84.6642761902887,7.820566525912569
Eth83-2023,2023,2112136.0,149.37319433379,91.0,261.0,86.47846206967976,8.25738959017036
Eth84-2023,2023,2123111.0,136.20950167385175,95.0,233.0,83.40745257094635,7.673211545569606
Eth85-2023,2023,2120212.0,158.91200072077552,95.0,276.0,85.20681901152459,8.223787815996685
Eth86-2023,2023,2127503.0,137.84037680958198,97.0,228.0,83.01481551013757,8.254343029311947
Eth87-2023,2023,2131426.0,155.8436360747467,90.0,266.0,83.41197261425147,7.697942451361432
Eth89-2023,2023,2116142.0,144.40336689432797,94.0,240.0,81.59941284787254,8.312406895084061
Eth90-2023,2023,2111424.0,118.75048045201484,98.0,201.0,85.88600731831487,8.264916387585263
Eth91-2023,2023,2127499.0,134.58743134104174,96.0,234.0,85.93217796349106,7.45224627860351
Eth80-2023,2023,2129427.0,202.1316899134449,96.0,372.0,86.6991679750198,7.771552737984566
