wgs_id,accession,names,date,continent,assembly_length,assembly_coverage,contigs,reference_coverage,reference_percentage_mapped,percent_missing
25818_3#361,ERR3201161,"101336393,NY0401",2012-12-17,North America,2171096.0,87.14513670950295,77.0,161.0,93.78720711768084,6.251990905119791
25825_2#43,ERR3201226,"101340792,NY0466",2013-02-23,North America,2081143.0,193.90863726142936,70.0,335.0,90.83827909501731,8.379610443431414
25825_2#44,ERR3201227,"101335904,NY0392",2012-12-10,North America,2127223.0,195.79117017713145,79.0,352.0,94.15027649031528,6.321479374110953
25825_2#59,ERR3201242,"101330237,NY0299",2012-09-19,North America,2176207.0,188.4901817843113,81.0,349.0,95.37584453355151,5.331033478567669
25825_2#70,ERR3201253,"101326612,NY0215",2012-08-03,North America,2083313.0,199.7422204548034,85.0,368.0,97.25869165597469,6.946741187934722
7M,SRR16683450,7M,2019-12,Asia,2143559.0,102.06350996039475,111.0,145.0,94.77513879691844,7.206326094017765
AUNG1065,SRR8566824,AUNG1065,2017-06-05,Oceania,2115304.0,41.28333024981801,90.0,77.0,95.16048769334591,7.234506781958087
AUNG1305,SRR8566986,AUNG1305,2017-07-20,Oceania,2176472.0,48.20902627419924,104.0,80.0,82.74596582234844,7.356414018660186
AUNG1852,SRR8560411,AUNG1852,2017-10-30,Oceania,2158500.0,49.52055228537823,114.0,86.0,86.93942627369205,6.934420537404375
AUNG193,SRR8559734,AUNG193,2017-01-24,Oceania,2123918.0,55.44182905994581,106.0,94.0,84.64397683841918,9.624309763555516
AUNG1939,SRR8560181,AUNG1939,2017-11-16,Oceania,2126600.0,38.15788520769819,110.0,71.0,93.82780608660028,6.017584928484224
AUNG2022,SRR8560027,AUNG2022,2017-12-04,Oceania,2177306.0,47.92946605154397,112.0,84.0,83.40806118772733,7.66904492557207
AUNG2170,SRR8560263,AUNG2170,2017-12-22,Oceania,2114127.0,67.62791543024038,99.0,112.0,83.75754453331021,8.884846719906811
AUNG299,SRR8559509,AUNG299,2017-02-13,Oceania,2121392.0,52.6853109763712,114.0,92.0,88.8400371466713,9.449759747314658
AUNG320,SRR8559611,AUNG320,2017-02-13,Oceania,2104732.0,49.5289054250299,106.0,82.0,83.6870925999344,10.167180027105433
AUNG322,SRR8559764,AUNG322,2017-02-15,Oceania,2164915.0,61.66423690573807,117.0,104.0,83.51831625866153,6.357948499680783
AUNG495,SRR8559605,AUNG495,2017-03-10,Oceania,2172931.0,39.32666124962093,99.0,71.0,88.5841759472537,6.06516504071415
AUNG764,SRR8559264,AUNG764,2017-04-24,Oceania,2162553.0,56.794392549200886,105.0,94.0,83.99599698880631,7.049473012175043
AUNG892,SRR8566711,AUNG892,2017-05-10,Oceania,2069452.0,36.729857920480406,111.0,66.0,94.21207927324078,8.989460243500858
AUNG92,SRR8559921,AUNG92,2017-01-13,Oceania,2104949.0,55.775549959202834,127.0,98.0,86.85765464533078,10.136087185403388
BH33,ERR3959420,BH33,2015-2016,South America,2180761.0,47.53882588433167,81.0,83.0,92.6791907006411,6.032145697292817
BH71,ERR3959542,BH71,2015-2016,South America,2118584.0,49.460172023217375,78.0,74.0,86.21197478688572,9.028483103907886
CCC001,SRR16683516,CCC001,2015-07-15,Asia,2105262.0,135.0241190693396,106.0,188.0,96.11754584911694,6.096078672953932
CCC011,SRR16683507,CCC011,2015-12-02,Asia,2053590.0,122.46939757948223,105.0,169.0,97.52005771519548,8.188125133007022
CCC012,SRR16683506,CCC012,2015-12-17,Asia,2156798.0,135.20710878879245,102.0,185.0,92.43116616835871,6.184742554406872
CCC020,SRR16683497,CCC020,2016-03-04,Asia,2158009.0,105.52063928121986,109.0,145.0,94.64882641517156,5.855086748580325
CCC022,SRR16683439,CCC022,2016-03-11,Asia,2146771.0,136.25730941359282,104.0,193.0,90.97963204235916,6.529899978718877
CCC029,SRR16683723,CCC029,2016-06-13,Asia,2147817.0,132.40328175870243,100.0,198.0,95.39473414588166,6.49128033960193
CCC032,SRR16683721,CCC032,2016-07-04,Asia,2111641.0,130.86797167622765,112.0,187.0,93.25965776967443,8.250221211679976
CCC040,SRR16683713,CCC040,2016-10-19,Asia,2105257.0,97.41488969234872,104.0,127.0,95.2714576414728,6.0009184484940805
DDD027,SRR16683675,DDD027,2017-10-19,Asia,2098287.0,114.24336097934028,116.0,150.0,91.49743204839916,9.47216093009711
DDD038,SRR16683664,DDD038,2018-02-12,Asia,2046636.0,131.49171195790706,103.0,189.0,95.67773424716896,8.5999484772796
DDD044,SRR16683657,DDD044,2018-06-19,Asia,2042839.0,88.77329968638298,118.0,130.0,96.64698900495446,8.977722023722851
DDD045,SRR16683656,DDD045,2018-07-31,Asia,2166901.0,121.89498062828766,104.0,160.0,93.249584380722,5.628610790649747
DDD046,SRR16683655,DDD046,2018-08-06,Asia,2159521.0,93.21319891228802,125.0,140.0,94.2138068447259,7.154668966521433
DDD048,SRR16683653,DDD048,2018-10-12,Asia,2160060.0,108.37841692387062,123.0,161.0,88.7779664596711,7.542209428657832
DRR117953,DRR117953,GU027,2015-01,Asia,2146046.0,30.2381149421126,87.0,41.0,83.79634832895691,6.79508518049753
DRR124801,DRR124801,FC536,2015-12,Asia,2094166.0,93.52401228116588,72.0,135.0,89.16913349949405,8.102866231337016
DRR124887,DRR124887,KM308,2015-11,Asia,2119798.0,78.09153823958698,120.0,114.0,83.23828231588321,9.850785721486094
DRR129094,DRR129094,98-152,1998-09,Asia,2086528.0,68.58052660253875,88.0,109.0,99.71850490806152,7.124292962668428
DRR248352,DRR248352,08-018,1996-01-22,Asia,2118641.0,60.71633027255115,121.0,88.0,90.79864757266988,8.86262474658662
DRR248387,DRR248387,09-006,1997-02-15,Asia,2108612.0,40.52347818296301,149.0,60.0,90.09446423335626,11.113988418588502
DRR248391,DRR248391,09-014,1997-05-01,Asia,2139945.0,53.59312149253604,78.0,83.0,91.57200217635352,7.643865996124595
DRR248395,DRR248395,09-021,1997-03-11,Asia,2141553.0,56.08374408252796,90.0,89.0,97.62536173222044,6.126409874441371
DRR248401,DRR248401,09-030,1997-09-10,Asia,2187329.0,56.9792308457854,102.0,84.0,91.95273779199496,6.982583080386645
DRR248403,DRR248403,09-032,1997-10-21,Asia,2188899.0,62.05905651794758,107.0,89.0,93.3022514818546,6.488323383474648
DRR248405,DRR248405,09-034,1997-11-04,Asia,2191887.0,67.14056835318017,77.0,100.0,92.59067672173528,5.833940032033691
DRR248415,DRR248415,98-010,1996-05-20,Asia,2181099.0,59.859729321001005,104.0,86.0,89.84750980784084,6.443879436834264
DRR248416,DRR248416,98-011,1996-06-11,Asia,2158568.0,56.11393691790576,69.0,83.0,93.70837163862848,7.641491470749656
DRR248432,DRR248432,98-032,1996-10-30,Asia,2089881.0,48.28991405511464,92.0,75.0,96.28249075374684,8.77982997502268
DRR248439,DRR248439,98-043,1997-05-06,Asia,2306635.0,93.09033194818554,1515.0,161.0,95.7552700195648,5.454329588602279
EEE011,SRR16683606,EEE011,2018-12-13,Asia,2163832.0,152.57280060368322,113.0,176.0,83.50716585718467,5.734792397038564
EEE014,SRR16683602,EEE014,2018-12-27,Asia,2110200.0,154.24285835023264,122.0,178.0,82.86387913244681,8.035573078258532
EEE018,SRR16683598,EEE018,2016-01-19,Asia,2109828.0,131.2424434777186,108.0,173.0,96.0772785883544,5.902980477369205
EEE019,SRR16683597,EEE019,2016-06-03,Asia,2053208.0,142.9620687263097,109.0,162.0,83.51964908305001,8.694839887546063
EEE020,SRR16683596,EEE020,2016-07-07,Asia,2100192.0,119.36663006133728,110.0,161.0,98.61263092945386,5.696127955556054
EEE022,SRR16683593,EEE022,2016-09-28,Asia,2160232.0,115.82683985496466,111.0,153.0,94.97917368465627,5.460333105587975
EEE028,SRR16683587,EEE028,2017-06-28,Asia,2110496.0,140.0982140285975,114.0,168.0,86.79367859184026,5.104154299347006
EEE032,SRR16683581,EEE032,2014-05-07,Asia,2096919.0,130.86805716411035,110.0,172.0,93.4228584802444,7.879795253189369
EEE034,SRR16683551,EEE034,2014-08-19,Asia,2113249.0,120.8444329883823,109.0,165.0,97.84916988886415,6.491325141967495
EEE035,SRR16683550,EEE035,2014-10-27,Asia,2117413.0,143.1025865931932,114.0,185.0,93.54561052845496,5.618933479687727
ERR10172565,ERR10172565,NG_AMS0646,2020-01,Europe,2158709.0,100.48745191424318,93.0,201.0,88.5538870223506,6.434202125872246
ERR10172670,ERR10172670,NG_AMS0751,2020-02,Europe,2163297.0,156.54419811905765,91.0,320.0,92.44734653109516,5.919781364456044
ERR10659316,ERR10659316,"SAMEA112168220,H22-494",2022-06,Europe,2159385.0,176.05833519770863,100.0,296.0,80.96068644152218,4.746855433966914
ERR1143662,ERR1143662,64586,,Africa,2166651.0,134.598581305981,84.0,250.0,93.5072176210725,5.595681051959543
ERR1143670,ERR1143670,65600,,Africa,2123742.0,155.36389132242155,89.0,299.0,97.12543385814662,6.054950101365352
ERR1143673,ERR1143673,56327,,Africa,2121194.0,143.61643785698246,72.0,257.0,91.0372595936198,8.171369048285749
ERR1143674,ERR1143674,56682,,Africa,2164392.0,100.73846553531702,91.0,188.0,94.0660642160402,6.1613557195819935
ERR1143684,ERR1143684,45722,,Africa,2175990.0,122.41686106962716,85.0,216.0,89.04180155093262,5.936223832618362
ERR1143686,ERR1143686,47547,,Africa,2110713.0,121.107567577829,90.0,225.0,95.7217571262014,7.752690942081742
ERR1143693,ERR1143693,45388,,Africa,2183716.0,117.1210472641749,79.0,212.0,90.81842625502895,5.260917776458597
ERR1143701,ERR1143701,49676,,Africa,2161710.0,122.0696284159397,79.0,226.0,94.05001852974206,5.644560432790851
ERR1143705,ERR1143705,50869,,Africa,2166131.0,166.83164752739702,82.0,306.0,92.72410391948442,5.883984274369687
ERR1143710,ERR1143710,65907,,Africa,2162007.0,127.54855146760718,83.0,236.0,93.95504000183922,6.346210279902779
ERR1469734,ERR1469734,ECDC_GC_084,2013,Europe,2121719.0,168.12513919039242,97.0,251.0,90.8048126343428,7.847851166541593
ERR1469736,ERR1469736,ECDC_GC_086,2013,Europe,2085223.0,183.5953808436795,93.0,284.0,96.38026370467682,7.1725451103818285
ERR1469737,ERR1469737,ECDC_GC_088,2013,Europe,2078058.0,179.46334399136117,94.0,272.0,92.9739887304958,8.488390587022995
ERR1514826,ERR1514826,ECDC_GR13056,2013,Europe,2181425.0,180.80278290842,102.0,287.0,93.66770894465554,5.779549960237901
ERR1514845,ERR1514845,ECDC_DK13_510,2013,Europe,2164035.0,186.60150503295927,105.0,295.0,92.94710096921833,6.259204085975739
ERR1528155,ERR1528155,ECDC_DK13_472,2013,Europe,2125814.0,181.686467322635,98.0,263.0,87.95205912383915,8.20940625665035
ERR1528184,ERR1528184,ECDC_DK13_509,2013,Europe,2113582.0,168.71311504971194,100.0,256.0,92.82005336269864,8.051567522765202
ERR1528195,ERR1528195,ECDC_SE13_061,2013,Europe,2163845.0,162.7224585300703,98.0,256.0,94.648239439988,6.435815011032582
ERR1528236,ERR1528236,ECDC_BE13_448,2013,Europe,2161712.0,174.48937972403354,91.0,265.0,93.44145855138186,6.10830971875315
ERR1528311,ERR1528311,ECDC_SE13_098,2013,Europe,2162144.0,168.17545861237724,102.0,267.0,93.68350341756698,6.450823803496824
ERR1549677,ERR1549677,ECDC_GE13_056,2013,Europe,2174352.0,226.77040782587176,94.0,340.0,89.2297091874105,6.563815369451508
ERR1549685,ERR1549685,ECDC_GE13_068,2013,Europe,2185340.0,231.99437120173508,99.0,360.0,92.077978227529,6.37994646117315
ERR1549739,ERR1549739,ECDC_LV13_024,2013,Europe,2121358.0,183.55348159292308,95.0,272.0,89.10674584326604,8.713298462158802
ERR1549757,ERR1549757,ECDC_1820984,2013,Europe,2114523.0,158.8918563543645,94.0,229.0,85.17401725191232,8.672662716591436
ERR1549790,ERR1549790,ECDC_RB13001950,2013,Europe,2166403.0,157.6194446751597,88.0,234.0,89.23474952668245,6.157278704315588
ERR1555226,ERR1555226,ECDC_CY13_006,2013,Europe,2119958.0,181.66250486047363,97.0,261.0,84.6958105429275,8.22109967406279
ERR1555231,ERR1555231,ECDC_MT13_002,2013,Europe,2182829.0,163.13796010498297,99.0,248.0,91.81140431851634,5.897783402963676
ERR1560829,ERR1560829,ECDC_PT13_060,2013,Europe,2182408.0,261.7694116132273,100.0,379.0,86.92220400474876,5.878070362115119
ERR1560857,ERR1560857,ECDC_PT13_089,2013,Europe,2193668.0,184.9918067060285,146.0,300.0,92.16546675993784,5.482644683639296
ERR1560859,ERR1560859,ECDC_PT13_091,2013,Europe,2188343.0,193.96879233739853,88.0,290.0,89.29084412833049,5.8616278939528
ERR1560867,ERR1560867,ECDC_PT13_100,2013,Europe,2158480.0,163.09723226529778,86.0,255.0,92.959499409635,6.248182704046774
ERR1560874,ERR1560874,ECDC_PT13_107,2013,Europe,2134893.0,146.8197719838886,101.0,214.0,88.39901939917758,7.587280608416124
ERR1560939,ERR1560939,ECDC_T2_ES058,2013,Europe,2081060.0,202.75276228028025,103.0,319.0,96.64339970199764,7.496062992125985
ERR1602751,ERR1602751,ECDC_FR13_068,2013,Europe,2177263.0,165.85164807007695,89.0,252.0,91.3040996993893,6.001052855590775
ERR1602768,ERR1602768,ECDC_FR13_085,2013,Europe,2164743.0,146.40330015988042,93.0,230.0,93.1482915288257,6.7368421052631575
ERR2133926,ERR2133926,AUSMDU00005554,2009-07-21,Oceania,2154742.0,119.68191926931908,96.0,206.0,87.32833858123374,6.243612862759154
ERR2133968,ERR2133968,AUSMDU00005596,2013-06-03,Oceania,2140608.0,67.62524048113899,82.0,115.0,83.23893488938067,7.898253827802108
ERR2133974,ERR2133974,AUSMDU00005602,2013-12-31,Oceania,2110154.0,139.11859960383745,98.0,273.0,90.45882199497326,8.87369093088115
ERR2799249,ERR2799249,"13ARS_DMC0024,ERS1821259,23668_8#298",2013-03-19,Asia,2167154.0,67.57430827726178,67.0,117.0,87.55499869310036,6.402750865245685
ERR2799251,ERR2799251,"13ARS_MMH0009,ERS1821261,23668_8#300",2013-02-22,Asia,2112889.0,74.98034105584009,85.0,120.0,81.12417298722295,8.495514163147815
ERR2799252,ERR2799252,"13ARS_VSM0064,ERS1821263,23668_8#301",2013-02-20,Asia,2113974.0,74.84650609032416,78.0,128.0,87.29730225982217,8.686909868841076
ERR2799253,ERR2799253,"13ARS_VSM0286,ERS1821262,23668_8#302",2013-05-15,Asia,2119106.0,76.16866515817522,84.0,119.0,80.13904998307571,8.98282949339725
ERR2799254,ERR2799254,"13ARS_VSM0542,ERS1821277,23668_8#303",2013-08-12,Asia,2176333.0,60.82553083032423,93.0,98.0,80.71970014915063,6.292044219934813
ERR2799259,ERR2799259,"14ARS_VSM0248,ERS1821269,23668_8#308",2014-03-04,Asia,2118128.0,79.10000917357074,77.0,128.0,82.3269348885708,8.309897962612425
ERR2799263,ERR2799263,"14ARS_ZPH0011,ERS1821273,23668_8#312",2014-09-16,Asia,2115346.0,62.932850998108606,86.0,106.0,85.06023663947366,8.352729024092472
ERR2799266,ERR2799266,"14ARS_MMH0002,ERS1821278,23668_8#315",2014-01-13,Asia,2080376.0,77.8289459584681,88.0,134.0,88.4827951883932,8.424816030286399
ERR2799268,ERR2799268,"14ARS_VSM0907,ERS1821279,23668_8#317",2014-10-01,Asia,2118839.0,78.23131413709116,77.0,130.0,83.56620000069948,8.832875975851524
ERR3325222,ERR3325222,SAMEA5608248,2016-04-07,Europe,2137506.0,43.59718230514537,82.0,72.0,81.67678482244686,8.198474479452516
ERR3325232,ERR3325232,SAMEA5608258,2016-04-13,Europe,2205918.0,51.83957883615119,75.0,88.0,80.17622067166475,5.638780927632979
ERR3325248,ERR3325248,SAMEA5608274,2016-05-12,Europe,2204463.0,77.82899480582167,82.0,166.0,87.6807774288923,5.6699185717005856
ERR3325250,ERR3325250,SAMEA5608276,2016-04-24,Europe,2197309.0,34.39412540460766,80.0,67.0,85.36747659084439,6.509873321311366
ERR3325260,ERR3325260,SAMEA5608286,2016-05-12,Europe,2139314.0,50.97618686409896,72.0,100.0,90.53641294542882,6.368835474513054
ERR3325272,ERR3325272,SAMEA5608298,2016-06-08,Europe,1966448.0,25.11899539993379,117.0,42.0,85.95488416890556,8.301027094230577
ERR3325321,ERR3325321,SAMEA5608347,2016-10-13,Europe,2137577.0,58.427131823140414,69.0,107.0,86.59675540910006,8.799856632430192
ERR3325347,ERR3325347,SAMEA5608373,2016-02-09,Europe,2155486.0,65.71888884515789,86.0,117.0,82.2004637098366,8.17549086591772
ERR3325360,ERR3325360,SAMEA5608386,2016-02-29,Europe,2142675.0,42.32434184261168,90.0,87.0,87.56900663270139,7.92898825057963
ERR3325394,ERR3325394,SAMEA5608420,2016-06-29,Europe,2151607.0,49.99744058724384,85.0,95.0,85.79236707234004,8.408239155027387
ERR3325429,ERR3325429,SAMEA5608455,2016-08-15,Europe,2135323.0,32.639425900116265,102.0,65.0,86.82619478677634,8.538121212800036
ERR3325432,ERR3325432,SAMEA5608458,2016-08-15,Europe,2199333.0,52.25726658911043,78.0,108.0,86.2222649456878,5.794603555067708
ERR3325433,ERR3325433,SAMEA5608459,2016-08-15,Europe,2199926.0,38.88751691128883,94.0,83.0,90.2727335400208,6.271972760161737
ERR3325488,ERR3325488,SAMEA5608514,2016-09-02,Europe,2137237.0,77.67080025179703,89.0,159.0,87.51552220175967,8.439421601460557
ERR3325564,ERR3325564,SAMEA5608590,2017-01-17,Europe,2188956.0,46.42555315751848,67.0,90.0,88.8258797119475,6.2272599993279645
ERR3325648,ERR3325648,SAMEA5608674,2017-02-15,Europe,2200606.0,136.76576057161674,91.0,238.0,82.06863458690948,5.494382903417301
ERR3325658,ERR3325658,SAMEA5608684,2017-02-20,Europe,2189446.0,71.16815003814934,89.0,162.0,89.39102328090762,6.2290520939505605
ERR3325716,ERR3325716,SAMEA5608742,2017-03-23,Europe,2135943.0,42.96898852225641,92.0,77.0,82.95556248039274,9.127944355461969
ERR3325717,ERR3325717,SAMEA5608743,2017-03-28,Europe,2191594.0,26.66932113388567,101.0,51.0,88.44774498551497,8.56786998353513
ERR3325732,ERR3325732,SAMEA5608758,2017-04-05,Europe,2198788.0,49.49584742602016,90.0,98.0,89.4062817270753,5.440664867104983
ERR3325738,ERR3325738,SAMEA5608764,2017-04-07,Europe,2141953.0,55.29157316256519,73.0,108.0,93.0528249679331,8.290408933591694
ERR3325773,ERR3325773,SAMEA5608799,2017-05-05,Europe,2169794.0,44.67381606422363,78.0,91.0,93.26734280546064,6.3346512695870345
ERR3325790,ERR3325790,SAMEA5608816,2017-05-12,Europe,2205365.0,59.51458511657481,108.0,107.0,81.14651797915533,6.248809937164682
ERR3325818,ERR3325818,SAMEA5608844,2017-06-01,Europe,2193639.0,45.9055555118869,92.0,94.0,86.25011341700248,6.215297767722136
ERR3325822,ERR3325822,SAMEA5608848,2017-06-02,Europe,2075250.0,38.50285169632525,80.0,78.0,89.19666959714537,9.634166283979797
ERR3325855,ERR3325855,SAMEA5608881,2017-06-28,Europe,2131790.0,51.41944813236152,308.0,71.0,80.38268258036268,11.971416090769594
ERR3325880,ERR3325880,SAMEA5608906,2017-07-13,Europe,2208978.0,50.34101419635599,95.0,109.0,85.79442580681923,5.956832920778217
ERR3325885,ERR3325885,SAMEA5608911,2017-07-14,Europe,2148974.0,50.231648933761846,90.0,109.0,91.4269654460584,7.916309181124763
ERR3325990,ERR3325990,SAMEA5609017,2017-08-25,Europe,2160474.0,50.93105968101676,88.0,119.0,86.48944000733015,6.385367547406504
ERR3326032,ERR3326032,SAMEA5609059,2017-09-28,Europe,2145619.0,67.03293711205438,93.0,157.0,90.34704185645856,7.833783223754215
ERR3326073,ERR3326073,SAMEA5609100,2017-10-11,Europe,2070667.0,38.27541028091719,262.0,66.0,91.66372456670558,11.507487595345031
ERR3326123,ERR3326123,SAMEA5609150,2017-12-14,Europe,2199928.0,123.39284875424384,84.0,202.0,87.647858779996,5.991823568284405
ERR349887,ERR349887,"10356_1_2,ERS248577",1998,North America,2102597.0,84.5332662660029,103.0,166.0,91.24570924139688,8.98565204242784
ERR349888,ERR349888,"10356_1_3,ERS248578",1998,North America,2142230.0,87.14777014428428,95.0,176.0,93.75500816497038,6.950504586642174
ERR349890,ERR349890,"10356_1_5,ERS248580",1998,North America,2156125.0,84.0740645466492,92.0,166.0,91.01215561214526,7.344138170495403
ERR349891,ERR349891,"10356_1_6,ERS248581",1998,North America,2105182.0,82.10493278318503,90.0,160.0,91.6650411290721,7.902017226509559
ERR349892,ERR349892,"10356_1_7,ERS248582",1998,North America,2148754.0,91.84478353301218,96.0,186.0,93.1185360288633,6.897682597641156
ERR349895,ERR349895,"10356_1_10,ERS248585",2008,South America,2162595.0,87.3873420604126,101.0,177.0,93.723008001284,6.256739955869669
ERR349897,ERR349897,"10356_1_12,ERS248587",2008,South America,2159901.0,82.50870720348757,105.0,154.0,87.33459048564498,6.820264109945005
ERR349900,ERR349900,"10356_1_15,ERS248590",1998,North America,2108510.0,92.28169136264184,102.0,191.0,97.21318458275154,5.755177473370594
ERR349912,ERR349912,"10356_1_27,ERS248603",1993,Europe,2117310.0,88.59867893912508,98.0,182.0,97.32494346432064,6.189222790963362
ERR349916,ERR349916,"10356_1_31,ERS248607",1993,Europe,2115196.0,90.9640858593922,94.0,188.0,97.73026340653578,6.328826962063597
ERR349918,ERR349918,"10356_1_33,ERS248609",1998,Europe,2061250.0,106.96765137365188,97.0,222.0,98.0957983122324,8.438301542321435
ERR349923,ERR349923,"10356_1_38,ERS248614",1998,Europe,2150081.0,101.83285849917188,88.0,203.0,92.12622889823976,6.865693708627815
ERR349926,ERR349926,"10356_1_41,ERS248617",1998,Europe,2089555.0,100.79029070597991,97.0,201.0,93.085765370789,9.275792161826145
ERR349932,ERR349932,"10356_1_47,ERS248623",1998,Europe,2059728.0,103.49438595148288,94.0,213.0,98.6396746153016,8.273876860698245
ERR349951,ERR349951,"10356_1_66,ERS248642",1998,Europe,2107816.0,92.52628958827806,97.0,178.0,90.32698215458404,7.650631153324896
ERR349960,ERR349960,"10356_1_75,ERS248651",1999,Asia,2106039.0,100.1514448313118,122.0,207.0,97.70136257643968,6.677792587448618
ERR349961,ERR349961,"10356_1_76,ERS248652",1999,Asia,2167487.0,94.62887427764558,102.0,190.0,92.35011191131738,6.287563983378322
ERR349970,ERR349970,"10356_1_85,ERS248661",2004,Europe,2149638.0,95.85830919834312,103.0,194.0,93.4731300744528,6.321972200132167
ERR349971,ERR349971,"10356_1_86,ERS248662",2004,Europe,2096842.0,103.3907931253504,99.0,207.0,93.10733822507832,8.12119039885306
ERR349976,ERR349976,"10356_1_91,ERS248667",2004,Europe,2154296.0,100.4170611835282,110.0,199.0,92.6365061702083,6.441818528018279
ERR349978,ERR349978,"10356_1_93,ERS248669",2004,Europe,2109449.0,95.562487320432,85.0,194.0,97.59356799373656,7.116721362887961
ERR3577328,ERR3577328,ERS3797878,2015,Europe,2122954.0,70.83673868894807,76.0,122.0,87.85311207323522,8.73888061289636
ERR3577467,ERR3577467,ERS3796994,2015,Europe,2179638.0,87.33936413360703,84.0,151.0,87.50418737223455,5.8547731320213705
ERR3577528,ERR3577528,ERS3797056,2015,Europe,2136231.0,74.57726269195793,81.0,128.0,88.62607077657633,6.666457588960697
ERR3577534,ERR3577534,ERS3797062,2015,Europe,2191984.0,66.07993742973488,69.0,109.0,83.03680839011244,5.550744279297947
ERR3577590,ERR3577590,ERS3797192,2014,Europe,2113308.0,71.78967013390805,84.0,126.0,89.20846062528915,8.259808917910865
ERR3577830,ERR3577830,ERS3797439,2013,Europe,2112929.0,80.37637852606831,77.0,141.0,91.34410319840522,9.060203178727836
ERR3577890,ERR3577890,ERS3797692,2013,Europe,2185477.0,98.6816819357079,83.0,158.0,80.6186342005915,6.69051645926905
ERR3577955,ERR3577955,ERS1806295,2016,Europe,2188088.0,62.04317264847345,83.0,110.0,88.45276358797697,5.3505225075884
ERR3577970,ERR3577970,ERS1806311,2016,Europe,2177664.0,74.57401135224306,77.0,134.0,89.97660894201644,6.289087263807529
ERR3577998,ERR3577998,ERS1806340,2016,Europe,2176317.0,63.05970178087108,84.0,116.0,92.78220734600156,6.447105207154938
ERR3578026,ERR3578026,ERS1806366,2016,Europe,2185780.0,78.42018509363066,87.0,145.0,92.44623432384051,6.117852622618474
ERR3578054,ERR3578054,ERS1806399,2016,Europe,2121405.0,76.71677539279061,79.0,131.0,86.12907696159073,8.478489264233152
ERR3578067,ERR3578067,ERS1806411,2016,Europe,2181592.0,69.5315864105135,77.0,119.0,86.13350274065834,5.942630570894143
ERR3578130,ERR3578130,ERS1806480,2016,Europe,2137089.0,111.66723268133804,80.0,208.0,94.68529019300595,5.198776895420078
ERR3578134,ERR3578134,ERS1806484,2016,Europe,2181792.0,108.26158673154268,87.0,193.0,88.24330644397098,6.0605055946954
ERR3578922,ERR3578922,ERS3797524,2013,Europe,2111153.0,83.9315715021304,92.0,147.0,88.780821549173,8.112991565954683
ERR3578940,ERR3578940,ERS3797542,2013,Europe,2137012.0,66.01096478695439,75.0,114.0,89.25408417143757,6.347643955600855
